,Case Number,Date,Year,Type,Country,Area,Location,Activity,Name,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,Investigator or Source,pdf,href formula,href,Case Number.1,Case Number.2,original order,Unnamed: 22,Unnamed: 23
6310,0,,,,,,,,,,,,,,,,,,,,,,,
6311,0,,,,,,,,,,,,,,,,,,,,,,,
6312,0,,,,,,,,,,,,,,,,,,,,,,,
6313,0,,,,,,,,,,,,,,,,,,,,,,,
6314,0,,,,,,,,,,,,,,,,,,,,,,,
6315,0,,,,,,,,,,,,,,,,,,,,,,,
6316,0,,,,,,,,,,,,,,,,,,,,,,,
6317,0,,,,,,,,,,,,,,,,,,,,,,,
6318,0,,,,,,,,,,,,,,,,,,,,,,,
6319,0,,,,,,,,,,,,,,,,,,,,,,,
6320,0,,,,,,,,,,,,,,,,,,,,,,,
6321,0,,,,,,,,,,,,,,,,,,,,,,,
6322,0,,,,,,,,,,,,,,,,,,,,,,,
6323,0,,,,,,,,,,,,,,,,,,,,,,,
6324,0,,,,,,,,,,,,,,,,,,,,,,,
6325,0,,,,,,,,,,,,,,,,,,,,,,,
6326,0,,,,,,,,,,,,,,,,,,,,,,,
6327,0,,,,,,,,,,,,,,,,,,,,,,,
6328,0,,,,,,,,,,,,,,,,,,,,,,,
6329,0,,,,,,,,,,,,,,,,,,,,,,,
6330,0,,,,,,,,,,,,,,,,,,,,,,,
6331,0,,,,,,,,,,,,,,,,,,,,,,,
6332,0,,,,,,,,,,,,,,,,,,,,,,,
6333,0,,,,,,,,,,,,,,,,,,,,,,,
6334,0,,,,,,,,,,,,,,,,,,,,,,,
6335,0,,,,,,,,,,,,,,,,,,,,,,,
6336,0,,,,,,,,,,,,,,,,,,,,,,,
6337,0,,,,,,,,,,,,,,,,,,,,,,,
6338,0,,,,,,,,,,,,,,,,,,,,,,,
6339,0,,,,,,,,,,,,,,,,,,,,,,,
6340,0,,,,,,,,,,,,,,,,,,,,,,,
6341,0,,,,,,,,,,,,,,,,,,,,,,,
6342,0,,,,,,,,,,,,,,,,,,,,,,,
6343,0,,,,,,,,,,,,,,,,,,,,,,,
6344,0,,,,,,,,,,,,,,,,,,,,,,,
6345,0,,,,,,,,,,,,,,,,,,,,,,,
6346,0,,,,,,,,,,,,,,,,,,,,,,,
6347,0,,,,,,,,,,,,,,,,,,,,,,,
6348,0,,,,,,,,,,,,,,,,,,,,,,,
6349,0,,,,,,,,,,,,,,,,,,,,,,,
6350,0,,,,,,,,,,,,,,,,,,,,,,,
6351,0,,,,,,,,,,,,,,,,,,,,,,,
6352,0,,,,,,,,,,,,,,,,,,,,,,,
6353,0,,,,,,,,,,,,,,,,,,,,,,,
6354,0,,,,,,,,,,,,,,,,,,,,,,,
6355,0,,,,,,,,,,,,,,,,,,,,,,,
6356,0,,,,,,,,,,,,,,,,,,,,,,,
6357,0,,,,,,,,,,,,,,,,,,,,,,,
6358,0,,,,,,,,,,,,,,,,,,,,,,,
6359,0,,,,,,,,,,,,,,,,,,,,,,,
6360,0,,,,,,,,,,,,,,,,,,,,,,,
6361,0,,,,,,,,,,,,,,,,,,,,,,,
6362,0,,,,,,,,,,,,,,,,,,,,,,,
6363,0,,,,,,,,,,,,,,,,,,,,,,,
6364,0,,,,,,,,,,,,,,,,,,,,,,,
6365,0,,,,,,,,,,,,,,,,,,,,,,,
6366,0,,,,,,,,,,,,,,,,,,,,,,,
6367,0,,,,,,,,,,,,,,,,,,,,,,,
6368,0,,,,,,,,,,,,,,,,,,,,,,,
6369,0,,,,,,,,,,,,,,,,,,,,,,,
6370,0,,,,,,,,,,,,,,,,,,,,,,,
6371,0,,,,,,,,,,,,,,,,,,,,,,,
6372,0,,,,,,,,,,,,,,,,,,,,,,,
6373,0,,,,,,,,,,,,,,,,,,,,,,,
6374,0,,,,,,,,,,,,,,,,,,,,,,,
6375,0,,,,,,,,,,,,,,,,,,,,,,,
6376,0,,,,,,,,,,,,,,,,,,,,,,,
6377,0,,,,,,,,,,,,,,,,,,,,,,,
6378,0,,,,,,,,,,,,,,,,,,,,,,,
6379,0,,,,,,,,,,,,,,,,,,,,,,,
