Estado,Pueblo,Anio
M?xico,Aculco,2015
Sonora,?lamos,2005
Coahuila,Arteaga,2012
Puebla,Atlixco,2015
Quintana Roo,Bacalar,2006
Chihuahua,Batopilas,2012
Quer?taro,Bernal,2005
Quer?taro,Cadereyta de Montes,2011
Aguascalientes,Calvillo,2012
Coahuila,Candela,2015
Oaxaca,Capul?lpam de M?ndez,2007
Chihuahua,Casas Grandes,2015
Chiapas,Chiapa de Corzo,2012
Puebla,Chignahuapan,2012
Puebla,Cholula,2012
Veracruz,Coatepec,2006
Colima,Comala,2002
Chiapas,Comit?n,2012
Sinaloa,Cosal ,2005
Veracruz,Coscomatepec,2015
Chihuahua,Creel,2007
Coahuila,Cuatroci?negas,2012
Puebla,Cuetzalan del Progreso,2002
Michoac?n,Cuitzeo,2006
Guanajuato,Dolores Hidalgo Cuna de la Independencia Nacional,2002
Sinaloa,El Fuerte,2009
M?xico,El Oro,2011
Sinaloa,El Rosario,2012
Coahuila,Guerrero,2015
Puebla,Huahuchinango,2015
Tlaxcala,Huamantla,2007
Hidalgo,Huasca de Ocampo,2001
Oaxaca,Huautla de Jim?nez,2015
Hidalgo,Huichapan,2012
Quintana Roo,Isla Mujeres ,2015
M?xico,Ixtapan de la Sal,2015
Yucat?n,Izamal,2002
Nayarit,Jala,2012
Guanajuato,Jalpa,2012
Quer?taro,Jalpan de Serra,2010
Zacatecas,Jer?z,2007
Michoac?n,Jiquilpan,2012
Jalisco ,Lagos de Moreno,2012
Nuevo Le?n,Linares,2015
Baja California Sur,Loreto,2012
Sonora,Magdalena de Kino,2012
M?xico,Malinalco,2010
Durango,Mapim?,2012
Jalisco ,Mascota,2015
Jalisco ,Mazamitla,2005
Oaxaca,Mazunte,2015
M?xico,Metepec,2012
Tamaulipas,Mier,2007
Michoac?n,Mineral de Angangueo,2012
Guanajuato,Mineral de Pozos,2012
Hidalgo,Mineral del Chico,2011
Sinaloa,Mocorito,2015
Zacatecas,Nochistl?n,2012
Veracruz,Orizaba,2015
Puebla,Pahuatl?n,2012
Chiapas,Palenque,2015
Campeche,Palizada,2011
Veracruz,Papantla,2012
Coahuila,Parras de la Fuente,2004
Michoac?n,P?tzcuaro,2002
Zacatecas,Pinos,2012
Aguascalientes,Real de Asientos,2006
San Luis Potos?,Real de Catorce,2001
Hidalgo,Real del Monte,2004
Guanajuato,Salvatierra,2012
Chiapas,San Crist?bal de las Casas,2003
Quer?taro,San Joaqu?n,2015
Aguascalientes,San Jos? de Gracia,2015
Oaxaca,San Pablo Villa de Mitla,2015
Oaxaca,San Pedro y San Pablo Teposcolula,2015
Jalisco ,San Sebasti?n del Oeste,2011
Nuevo Le?n,Santiago,2006
Nayarit,Sayulita,2015
Zacatecas,Sombrerete,2012
Michoac?n,Sta. Clara del Cobre,2010
Michoac?n,Tac?mbaro,2012
Jalisco ,Talpa de Allende,2015
Jalisco ,Tapalpa,2002
Tabasco,Tapijulapa,2010
Guerrero,Taxco,2002
Baja California,Tecate,2012
Hidalgo,Tecozahutla,2015
M?xico,Teotihuac?n y San Mart?n de las Pir?mides,2015
M?xico,Tepotzotl?n,2002
Morelos,Tepoztl?n,2002
Jalisco ,Tequila,2003
Quer?taro,Tequisquiapan,2012
Zacatecas,Te?l,2011
Michoac?n,Tlalpujahua,2005
Puebla,Tlatlauquitepec,2012
Tlaxcala,Tlaxco,2015
Morelos,Tlayacapan,2011
Baja California Sur,Todos Santos,2006
Tamaulipas,Tula,2011
Quintana Roo,Tulum,2015
Michoac?n,Tzintzuntzan,2012
Yucat?n,Valladolid,2012
M?xico,Valle de Bravo,2005
Coahuila,Viesca,2012
M?xico,Villa del Carb?n,2015
Veracruz,Xico,2011
Puebla,Xicotepec,2012
San Luis Potos?,Xilitla,2011
Guanajuato,Yuriria,2012
Puebla,Zacatl?n,2011
Veracruz,Zozocolco,2015
