RELACION DE RECURSOS ASIGNADOS A PUEBLOS MÁGICOS 2015,,,,
,,,,
ESTADO,APORTACIÓN FEDERAL,APORTACIÓN ESTATAL,DETONADO,FECHA DE CONVENIO ORIGINAL
BAJA CALIFORNIA ,"$7,000,000.00","$7,000,000.00","$14,000,000.00",13 de marzo de 2015
BAJA CALIFORNIA SUR,"$13,000,000.00",$0.00,"$13,000,000.00",13 de marzo de 2015
CAMPECHE,"$26,000,000.00",$0.00,"$26,000,000.00",27 de febrero de 2015
CHIAPAS,"$22,890,000.00",$0.00,"$22,890,000.00",27 de febrero de 2015
COAHUILA,"$17,000,000.00","$2,000,000.00","$19,000,000.00",13 de marzo de 2015
COLIMA,"$2,000,000.00",$0.00,"$2,000,000.00",27 de febrero de 2015
DURANGO,"$10,000,000.00",$0.00,"$10,000,000.00",13 de marzo de 2015
GUANAJUATO,"$20,000,000.00","$20,000,000.00","$40,000,000.00",27 de febrero de 2015
HIDALGO,"$16,000,000.00","$16,000,000.00","$32,000,000.00",27 de febrero de 2015
JALISCO,"$33,600,000.00","$22,400,000.00","$56,000,000.00",27 de febrero de 2015
MÉXICO,"$54,000,000.00","$20,000,000.00","$74,000,000.00",27 de febrero de 2015
MICHOACAN,"$57,500,000.00",$0.00,"$57,500,000.00",13 de marzo de 2015
MORELOS,"$200,000.00",$0.00,"$200,000.00",27 de febrero de 2015
NAYARIT,"$5,000,000.00","$2,700,000.00","$7,700,000.00",27 de febrero de 2015
NUEVO LEON,"$4,000,000.00",$0.00,"$4,000,000.00",4 de marzo de 2015
OAXACA,"$269,320.00",$0.00,"$269,320.00",27 de febrero de 2015
PUEBLA,"$70,000,000.00","$70,000,000.00","$140,000,000.00",27 de febrero de 2015
QUINTANA ROO,"$10,000,000.00","$5,000,000.00","$15,000,000.00",27 de febrero de 2015
SINALOA,"$480,000.00",$0.00,"$480,000.00",27 de febrero de 2015
SONORA,"$10,000,000.00",$0.00,"$10,000,000.00",27 de febrero de 2015
TAMAULIPAS,"$240,000.00",$0.00,"$240,000.00",27 de febrero de 2015
TLAXCALA,"$5,000,000.00",$0.00,"$5,000,000.00",27 de febrero de 2015
VERACRUZ,"$5,000,000.00","$5,000,000.00","$10,000,000.00",13 de marzo de 2015
YUCATÁN,"$52,000,000.00","$500,000.00","$52,500,000.00",27 de febrero de 2015
ZACATECAS,"$4,000,000.00","$4,000,000.00","$8,000,000.00",27 de febrero de 2015
,"$445,179,320.00","$174,600,000.00","$619,779,320.00",
