PELÍCULA,DIRECTOR,CICLO/ESTRENO,PAIS,ASISTENCIA,FUNCIONES,GENERO,PERIODO,MES,EXHIBIDA
3 mujeres o (despertando de mi sueño bosnio),Sergio Flores Thorija,Continua en Cartelera,Bosnia y Herzegovina / México,147,4,ADULTOS,2018,ENERO,SALA
Coco (doblada),Lee Unkrich / Adrián Molina,Continua en Cartelera,EUA,3882,15,NIÑOS,2018,ENERO,SALA
Coco (subtitulada),Lee Unkrich / Adrián Molina,Continua en Cartelera,EUA,2539,13,NIÑOS,2018,ENERO,SALA
"Yo, Olga. Historia de una asesina",Petr Kazda / Tomáš Weinreb,Continua en Cartelera,República Checa / Polonia / Francia / Eslovaquia,2979,20,ADULTOS,2018,ENERO,SALA
Somos lengua,Kyzza Terrazas,Continua en Cartelera,México,114,4,ADULTOS,2018,ENERO,SALA
Batallas íntimas,Lucía Gajá,Continua en Cartelera,México,154,4,ADULTOS,2018,ENERO,SALA
The Square: la farsa del arte,Ruben Östlund,Continua en Cartelera,Suecia-Alemania-Francia-Dinamarca,1274,9,ADULTOS,2018,ENERO,SALA
Cartas de Van Gogh,Dorota Kobiela - Hugh Welchman,Continua en Cartelera,Reino Unido,20264,70,ADULTOS,2018,ENERO,SALA
Era el Hotel Cambridge,Eliane Caffé,Continua en Cartelera,Brasil / Francia,108,4,ADULTOS,2018,ENERO,SALA
120 latidos por minuto,Robin Campillo,Continua en Cartelera,Francia,1653,14,ADULTOS,2018,ENERO,SALA
Casa Roshell,Camila José Donoso,Continua en Cartelera,México / Chile,616,24,ADULTOS,2018,ENERO,SALA
La cordillera,Santiago Mitre,Continua en Cartelera,Argentina / España / Francia,244,4,ADULTOS,2018,ENERO,SALA
Qué pesado este fastidio,Kazik Radwansk,Continua en Cartelera,Canadá,456,23,ADULTOS,2018,ENERO,SALA
La cazadora de águilas,Otto Bell,Continua en Cartelera,Reino Unido-Mongolia-EUA,1479,30,ADULTOS,2018,ENERO,SALA
Una bella luz interior,Claire Denis,Continua en Cartelera,Francia,6705,54,ADULTOS,2018,ENERO,SALA
Safari,Ulrich Seidl,Continua en Cartelera,Austria,351,19,ADULTOS,2018,ENERO,SALA
Elevador,Adrián Ortíz,Continua en Cartelera,México,442,22,ADULTOS,2018,ENERO,SALA
Detroit: zona de conflicto,Kathryn Bigelow,Continua en Cartelera,EUA,1322,16,ADULTOS,2018,ENERO,SALA
Rostros de una mujer,Arnaud des Pallieres,Continua en Cartelera,Francia,1752,21,ADULTOS,2018,ENERO,SALA
Días cortos,Ted Fendt,Continua en Cartelera,EUA,1053,28,ADULTOS,2018,ENERO,SALA
Historia de fantasmas,David Lowery,Continua en Cartelera,EUA,10933,54,ADULTOS,2018,ENERO,SALA
Good time: viviendo al límite,Josh Safdie / Benny Safdie,Continua en Cartelera,EUA,3933,41,ADULTOS,2018,ENERO,SALA
La tortuga primordial,Eduardo Quiroz,Continua en Cartelera,México,545,14,ADULTOS,2018,ENERO,SALA
Míster Universo,Tizza Covi y Rainer Frimmel,Continua en Cartelera,Italia-Austria-Portugal,837,34,ADULTOS,2018,ENERO,SALA
Zama,Lucrecia Martel,Continua en Cartelera,Argentina / Brasil / España / Francia / México / EUA / Holanda / Portugal,1423,37,ADULTOS,2018,ENERO,SALA
Mañana psicotrópica,Alexandro Aldrete,Estrenos,México,1312,24,ADULTOS,2018,ENERO,SALA
Frantz,François Ozon,Estrenos,"Francia, Alemania",3032,43,ADULTOS,2018,ENERO,SALA
Amor (Dir. Roberto Rossellini),Roberto Rossellini,Estrenos,Italia,1645,25,ADULTOS,2018,ENERO,SALA
Recién casi muero,Toshimasa Kobayashi,Estrenos,Japón,1476,30,ADULTOS,2018,ENERO,SALA
La forma del agua,Guillermo del Toro,Estrenos,EUA,15385,43,ADULTOS,2018,ENERO,SALA
La rueda de la maravilla,Woody Allen,Estrenos,EUA,6509,34,ADULTOS,2018,ENERO,SALA
Abril y el mundo extraordinario,Christian Desmares y Franck Ekinci,Estrenos,Francia / Bélgica / Canadá,2713,25,ADULTOS,2018,ENERO,SALA
Los presentes,Alejandro Molina,Estrenos,México,493,20,ADULTOS,2018,ENERO,SALA
Beach rats: ratas de playa,Eliza Hittman,Estrenos,EUA,2670,31,ADULTOS,2018,ENERO,SALA
En la penumbra,Fatih Akin,Estrenos,Alemania / Francia,3588,31,ADULTOS,2018,ENERO,SALA
