,base_form,past_form,past_participle,s_es_ies,ing_form
0,abash,abashed,abashed,abashes,abashing
1,abate,abated,abated,abates,abating
2,abide,abode,abode,abides,abiding
3,absorb,absorbed,absorbed,absorbs,absorbing
4,accept,accepted,accepted,accepts,accepting
5,accompany,accompanied,accompanied,accompanies,accompanying
6,ache,ached,ached,aches,aching
7,achieve,achieved,achieved,achieves,achieving
8,acquire,acquired,acquired,acquires,acquiring
9,act,acted,acted,acts,acting
10,add,added,added,adds,adding
11,address,addressed,addressed,addresses,addressing
12,adjust,adjusted,adjusted,adjusts,adjusting
13,admire,admired,admired,admires,admiring
14,admit,admitted,admitted,admits,admitting
15,advise,advised,advised,advises,advising
16,afford,afforded,afforded,affords,affording
17,agree,agreed,agreed,agrees,agreeing
18,alight,alit,alit,alights,alighting
19,allow,allowed,allowed,allows,allowing
20,animate,animated,animated,animates,animating
21,announce,announced,announced,announces,announcing
22,answer,answered,answered,answers,answering
23,apologize,apologized,apologized,apologizes,apologizing
24,appear,appeared,appeared,appears,appearing
25,applaud,applauded,applauded,applauds,applauding
26,apply,applied,applied,applies,applying
27,approach,approached,approached,approaches,approaching
28,approve,approved,approved,approves,approving
29,argue,argued,argued,argues,arguing
30,arise,arose,arisen,arises,arising
31,arrange,arranged,arranged,arranges,arranging
32,arrest,arrested,arrested,arrests,arresting
33,ask,asked,asked,asks,asking
34,assert,asserted,asserted,asserts,asserting
35,assort,assorted,assorted,assorts,assorting
36,astonish,astonished,astonished,astonishes,astonishing
37,attack,attacked,attacked,attacks,attacking
38,attend,attended,attended,attends,attending
39,attract,attracted,attracted,attracts,attracting
40,audit,audited,audited,audits,auditing
41,avoid,avoided,avoided,avoids,avoiding
42,awake,awoke,awoken,awakes,awaking
43,bang,banged,banged,bangs,banging
44,banish,banished,banished,banishes,banishing
45,bash,bashed,bashed,bashes,bashing
46,bat,batted,batted,bats,batting
47,"be    (am,are)",was / were,been,is,being
48,bear,bore,born,bears,bearing
49,bear,bore,borne,bears,bearing
50,beat,beat,beaten,beats,beating
51,beautify,beautified,beautified,beautifies,beautifying
52,become,became,become,becomes,becoming
53,befall,befell,befallen,befalls,befalling
54,beg,begged,begged,begs,begging
55,begin,began,begun,begins,beginning
56,behave,behaved,behaved,behaves,behaving
57,behold,beheld,beheld,beholds,beholding
58,believe,believed,believed,believes,believing
59,belong,belonged,belonged,belongs,belonging
60,bend,bent,bent,bends,bending
61,bereave,bereft,bereft,bereaves,bereaving
62,beseech,besought,besought,beseeches,beseeching
63,bet,bet,bet,bets,betting
64,betray,betrayed,betrayed,betrays,betraying
65,bid,bade,bidden,bids,bidding
66,bid,bid,bid,bids,bidding
67,bind,bound,bound,binds,binding
68,bite,bit,bitten,bites,biting
69,bleed,bled,bled,bleeds,bleeding
70,bless,blessed,blessed,blesses,blessing
71,blossom,blossomed,blossomed,blossoms,blossoming
72,blow,blew,blown,blows,blowing
73,blur,blurred,blurred,blurs,blurring
74,blush,blushed,blushed,blushes,blushing
75,board,boarded,boarded,boards,boarding
76,boast,boasted,boasted,boasts,boasting
77,boil,boiled,boiled,boils,boiling
78,bow,bowed,bowed,bows,bowing
79,box,boxed,boxed,boxes,boxing
80,bray,brayed,brayed,brays,braying
81,break,broke,broken,breaks,breaking
82,breathe,breathed,breathed,breathes,breathing
83,breed,bred,bred,breeds,breeding
84,bring,brought,brought,brings,bringing
85,broadcast,broadcast,broadcast,broadcasts,broadcasting
86,brush,brushed,brushed,brushes,brushing
87,build,built,built,builds,building
88,burn,burnt,burnt,burns,burning
89,burst,burst,burst,bursts,bursting
90,bury,buried,buried,buries,burying
91,bust,bust,bust,busts,busting
92,buy,bought,bought,buys,buying
93,buzz,buzzed,buzzed,buzzes,buzzing
94,calculate,calculated,calculated,calculates,calculating
95,call,called,called,calls,calling
96,canvass,canvassed,canvassed,canvasses,canvassing
97,capture,captured,captured,captures,capturing
98,caress,caressed,caressed,caresses,caressing
99,carry,carried,carried,carries,carrying
100,carve,carved,carved,carves,carving
101,cash,cashed,cashed,cashes,cashing
102,cast,cast,cast,casts,casting
103,catch,caught,caught,catches,catching
104,cause,caused,caused,causes,causing
105,cease,ceased,ceased,ceases,ceasing
106,celebrate,celebrated,celebrated,celebrates,celebrating
107,challenge,challenged,challenged,challenges,challenging
108,change,changed,changed,changes,changing
109,charge,charged,charged,charges,charging
110,chase,chased,chased,chases,chasing
111,chat,chatted,chatted,chats,chatting
112,check,checked,checked,checks,checking
113,cheer,cheered,cheered,cheers,cheering
114,chew,chewed,chewed,chews,chewing
115,chide,chid,chid/chidden,chides,chiding
116,chip,chipped,chipped,chips,chipping
117,choke,choked,choked,chokes,choking
118,choose,chose,chosen,chooses,choosing
119,classify,classified,classified,classifies,classifying
120,clean,cleaned,cleaned,cleans,cleaning
121,cleave,clove/cleft,cloven/cleft,cleaves,cleaving
122,click,clicked,clicked,clicks,clicking
123,climb,climbed,climbed,climbs,climbing
124,cling,clung,clung,clings,clinging
125,close,closed,closed,closes,closing
126,clothe,clad,clad,clothes,clothing
127,clutch,clutched,clutched,clutches,clutching
128,collapse,collapsed,collapsed,collapses,collapsing
129,collect,collected,collected,collects,collecting
130,colour,coloured,coloured,colours,colouring
131,come,came,come,comes,coming
132,comment,commented,commented,comments,commenting
133,compare,compared,compared,compares,comparing
134,compel,compelled,compelled,compels,compelling
135,compete,competed,competed,competes,competing
136,complain,complained,complained,complains,complaining
137,complete,completed,completed,completes,completing
138,conclude,concluded,concluded,concludes,concluding
139,conduct,conducted,conducted,conducts,conducting
140,confess,confessed,confessed,confesses,confessing
141,confine,confined,confined,confines,confining
142,confiscate,confiscated,confiscated,confiscates,confiscating
143,confuse,confused,confused,confuses,confusing
144,congratulate,congratulated,congratulated,congratulates,congratulating
145,connect,connected,connected,connects,connecting
146,connote,connoted,connoted,connotes,connoting
147,conquer,conquered,conquered,conquers,conquering
148,consecrate,consecrated,consecrated,consecrates,consecrating
149,consent,consented,consented,consents,consenting
150,conserve,conserved,conserved,conserves,conserving
151,consider,considered,considered,considers,considering
152,consign,consigned,consigned,consigns,consigning
153,consist,consisted,consisted,consists,consisting
154,console,consoled,consoled,consoles,consoling
155,consort,consorted,consorted,consorts,consorting
156,conspire,conspired,conspired,conspires,conspiring
157,constitute,constituted,constituted,constitutes,constituting
158,constrain,constrained,constrained,constrains,constraining
159,construct,constructed,constructed,constructs,constructing
160,construe,construed,construed,construes,construing
161,consult,consulted,consulted,consults,consulting
162,contain,contained,contained,contains,containing
163,contemn,contemned,contemned,contemns,contemning
164,contend,contended,contended,contends,contending
165,contest,contested,contested,contests,contesting
166,continue,continued,continued,continues,continuing
167,contract,contracted,contracted,contracts,contracting
168,contradict,contradicted,contradicted,contradicts,contradicting
169,contrast,contrasted,contrasted,contrasts,contrasting
170,contribute,contributed,contributed,contributes,contributing
171,contrive,contrived,contrived,contrives,contriving
172,control,controlled,controlled,controls,controlling
