iter	MultiClass
0	3.121943404
1	2.990640738
2	2.883266009
3	2.788065191
4	2.707257036
5	2.634791713
6	2.569606185
7	2.50944052
8	2.453750129
9	2.39925956
10	2.349131642
11	2.303021614
12	2.258428988
13	2.216892582
14	2.173144474
15	2.134180727
16	2.100229783
17	2.06169626
18	2.028585825
19	1.996377288
20	1.963232983
21	1.933905873
22	1.907008918
23	1.879593128
24	1.852834749
25	1.827632313
26	1.801047853
27	1.778828232
28	1.755809233
29	1.732441489
30	1.711175719
31	1.691266039
32	1.670453691
33	1.651928833
34	1.632067965
35	1.615382579
36	1.59675605
37	1.579954284
38	1.561777351
39	1.544184624
40	1.528045223
41	1.513220044
42	1.496170535
43	1.482842563
44	1.468650897
45	1.452195163
46	1.436910814
47	1.421890515
48	1.409144836
49	1.393973733
50	1.379634936
51	1.367460129
52	1.354095298
53	1.339885746
54	1.327526064
55	1.314693928
