iter	Passed	Remaining
0	2873	2870710
1	5511	2750063
2	8149	2708382
3	10728	2671514
4	13333	2653364
5	16215	2686420
6	19155	2717388
7	21962	2723378
8	24523	2700359
9	27092	2682169
10	29661	2666873
11	32815	2701849
12	36068	2738451
13	38679	2724145
14	42004	2758296
15	44829	2756998
16	47550	2749554
17	50606	2760890
18	53791	2777314
19	56628	2774813
20	59723	2784235
21	62748	2789439
22	65989	2803100
23	68794	2797646
24	71517	2789163
25	74139	2777372
26	76806	2767891
27	79506	2760012
28	82220	2752980
29	84921	2745807
30	87583	2737688
31	90283	2731073
32	93041	2726402
33	95835	2722844
34	98719	2721835
35	101466	2717034
36	104257	2713500
37	106842	2704804
38	109538	2699150
39	112145	2691481
40	115041	2690841
41	117896	2689165
42	120681	2685863
43	123407	2681305
44	126095	2676030
45	128776	2670708
46	131606	2668524
47	134742	2672389
48	137543	2669462
49	140137	2662607
50	142912	2659291
51	146063	2662855
52	149759	2675890
53	152388	2669628
54	155001	2663199
55	157724	2658786
