iter	RMSE
0	300.2589182
1	289.4682864
2	278.9464734
3	269.9780699
4	261.134447
5	253.2208924
6	245.6867294
7	238.9461467
8	232.7745699
9	226.730386
10	221.575583
11	216.7209767
12	212.5469583
13	208.7419397
14	204.9985068
15	201.810249
16	198.7321554
17	195.7906749
18	193.3530894
19	191.1558627
20	189.107476
21	187.3617614
22	185.636556
23	184.0512495
24	182.5943729
25	180.953131
26	179.5266061
27	178.4762611
28	177.441155
29	176.4863838
30	175.4961374
31	174.8036396
32	173.7779161
33	173.1612751
34	172.3602448
35	171.5855319
36	171.0327444
37	170.3057696
38	169.5821976
39	168.6471431
40	168.1348972
41	167.526278
42	167.0656363
43	166.3921157
44	165.8813004
45	165.2300692
46	164.9043025
47	164.5142583
48	164.2430686
49	163.9100696
50	163.3039165
51	162.8780424
52	162.3639005
53	161.8488947
54	161.4296007
55	161.1534079
56	160.8010056
57	160.3158111
58	159.9657463
59	159.7432122
60	159.541767
61	159.2506004
62	158.6184676
63	158.4318159
64	158.03179
65	157.5093734
66	157.0851096
67	156.8389242
68	156.4978286
69	156.3202417
70	155.9651749
71	155.5410645
72	155.1556128
73	154.9030626
74	154.591853
75	154.2593408
76	154.1356399
77	153.9497373
78	153.8041274
79	153.4340396
80	153.3392435
81	153.0800433
82	152.7685328
83	152.3816644
84	152.1346043
85	152.0241434
86	151.6076065
87	151.2297156
88	150.8700726
89	150.4931155
90	150.2875527
91	149.8967219
92	149.8230455
93	149.7166146
94	149.3493308
95	149.1418679
96	148.8646946
97	148.7643367
98	148.6250405
99	148.5419877
100	148.2951896
101	148.051608
102	147.8963036
103	147.6871156
104	147.3715276
105	147.1361828
106	146.9888054
107	146.8047558
108	146.6582798
109	146.4701537
110	146.210563
111	146.1189518
112	145.8586994
113	145.6150988
114	145.433453
115	145.2901447
116	145.1866523
117	144.9162394
118	144.820173
119	144.6769982
120	144.5034627
121	144.385222
122	144.327391
123	144.2058035
124	144.0835398
125	143.8787522
126	143.5566579
127	143.4156365
128	143.3289138
129	143.1082284
130	142.8935477
131	142.6839632
132	142.5481705
133	142.3638015
134	142.1937622
135	142.095708
136	142.0097982
137	141.8930339
138	141.705728
139	141.3654667
140	141.1770924
141	140.9939211
142	140.8641256
143	140.6746963
144	140.5115666
145	140.4313491
146	140.2959959
147	140.2136886
148	140.0574396
149	139.9282533
150	139.8184315
151	139.6247548
152	139.4501411
153	139.2017188
154	139.0727487
155	138.8843177
156	138.7547547
157	138.5920984
158	138.3762048
159	138.067305
160	137.955654
161	137.7994797
162	137.7089021
163	137.4737902
164	137.3869188
165	137.205921
166	137.1322911
167	136.9654954
168	136.8773022
169	136.7253829
170	136.6086633
171	136.4346529
172	136.2564776
173	136.1292647
174	135.9890373
175	135.8533448
176	135.6888518
177	135.5576065
178	135.3259378
179	135.1638813
180	135.0178595
181	134.9104785
182	134.7995025
183	134.7046888
184	134.6400992
185	134.4354979
186	134.3540315
187	134.2514368
188	134.0095756
189	133.8139574
190	133.6612736
191	133.5846393
192	133.4553746
193	133.3856306
194	133.3050553
195	133.2100278
196	133.0865636
197	132.8872437
198	132.7700404
199	132.6627649
200	132.4867336
201	132.3951229
202	132.2761023
203	132.1255421
204	131.97492
205	131.8379174
206	131.7741292
207	131.6773552
208	131.5668321
209	131.2868031
210	131.1901314
211	131.0664731
212	130.9076591
