iter	Passed	Remaining
0	13	13078
1	24	12086
2	33	11074
3	46	11635
4	53	10549
5	57	9504
6	60	8527
7	65	8079
8	68	7518
9	71	7034
10	73	6616
11	76	6266
12	79	6024
13	82	5783
14	84	5558
15	87	5370
16	89	5191
17	92	5033
18	94	4885
19	97	4761
20	99	4649
21	102	4547
22	104	4449
23	107	4358
24	109	4276
25	112	4203
26	114	4132
27	117	4064
28	119	4002
29	121	3944
30	125	3914
31	127	3859
32	130	3813
33	133	3785
34	136	3752
35	138	3709
36	141	3676
37	143	3638
38	146	3603
39	148	3568
40	151	3534
41	153	3503
42	156	3473
43	158	3443
44	160	3416
45	163	3388
46	165	3364
47	168	3339
48	171	3322
49	174	3310
50	176	3286
51	179	3268
52	181	3246
53	184	3227
54	186	3207
55	189	3189
56	191	3168
57	193	3149
58	196	3134
59	198	3117
60	201	3101
61	204	3091
62	206	3076
63	209	3061
64	211	3048
65	214	3033
66	217	3022
67	219	3008
68	221	2994
69	224	2980
70	226	2966
71	229	2953
72	231	2939
73	233	2924
74	236	2911
75	238	2900
76	241	2889
77	243	2881
78	247	2881
79	249	2871
80	252	2859
81	254	2849
82	256	2838
83	259	2829
84	261	2819
85	264	2809
86	266	2801
87	269	2792
88	271	2782
89	274	2775
90	276	2766
91	279	2758
92	281	2749
93	284	2739
94	286	2729
95	290	2731
96	292	2724
97	295	2716
98	297	2707
99	300	2700
100	302	2692
101	304	2684
102	307	2676
103	309	2668
104	312	2660
105	314	2653
106	317	2646
107	319	2638
108	321	2630
109	324	2626
110	327	2620
111	329	2611
112	331	2605
113	334	2597
114	336	2591
115	339	2584
116	341	2577
117	343	2570
118	346	2564
119	348	2558
120	351	2552
121	353	2545
122	356	2540
123	358	2534
124	361	2527
125	363	2521
126	366	2517
127	368	2511
128	371	2505
129	373	2499
130	376	2498
131	379	2492
132	381	2486
133	383	2480
134	386	2474
135	388	2469
136	391	2464
137	393	2458
138	395	2452
139	398	2447
140	400	2442
141	403	2437
142	405	2432
143	408	2427
144	410	2422
145	413	2416
146	415	2411
147	418	2406
148	420	2401
149	422	2396
150	425	2392
151	427	2387
152	430	2382
153	433	2379
154	435	2375
155	439	2376
156	441	2371
157	444	2367
158	446	2363
159	449	2359
160	451	2354
161	454	2350
162	456	2345
163	459	2341
164	461	2336
165	464	2332
166	466	2327
167	468	2322
168	471	2318
169	474	2315
170	477	2313
171	479	2309
172	482	2305
173	484	2301
174	487	2296
175	489	2292
176	492	2288
177	494	2284
178	497	2280
179	499	2275
180	501	2271
181	504	2267
182	507	2263
183	509	2259
184	511	2254
185	514	2252
186	517	2248
187	519	2244
188	521	2239
189	524	2235
190	526	2230
191	529	2226
192	531	2222
193	534	2218
194	536	2214
195	538	2210
196	541	2207
197	544	2203
198	546	2200
199	548	2195
200	551	2192
201	554	2188
202	556	2184
203	558	2180
204	561	2176
205	563	2173
206	566	2169
207	568	2165
208	571	2161
209	573	2159
210	576	2155
211	578	2151
212	581	2148
213	583	2144
214	586	2141
215	588	2137
216	591	2133
217	593	2129
218	596	2125
219	598	2122
220	601	2118
221	603	2114
222	605	2111
223	608	2107
224	610	2104
225	613	2101
226	615	2097
227	618	2092
228	620	2088
229	622	2085
230	625	2081
231	627	2078
232	630	2074
233	632	2071
234	635	2068
235	637	2064
236	640	2061
237	642	2058
238	645	2054
239	647	2051
240	650	2047
241	652	2043
242	654	2040
243	657	2036
244	660	2035
245	663	2032
246	665	2029
247	668	2026
248	670	2022
249	673	2019
250	675	2015
251	678	2012
252	680	2010
253	683	2006
254	685	2002
255	687	1998
256	690	1995
257	692	1991
258	695	1989
259	697	1985
260	700	1982
261	702	1979
262	705	1975
263	707	1972
264	709	1968
265	712	1965
266	714	1962
267	717	1959
268	719	1956
269	722	1953
270	724	1949
271	727	1947
272	729	1943
273	732	1940
274	734	1936
275	737	1933
276	739	1930
277	742	1927
278	744	1924
279	747	1921
280	749	1918
281	752	1914
282	754	1911
283	757	1908
284	759	1905
285	761	1902
286	764	1898
287	766	1896
288	769	1892
289	771	1889
290	774	1886
291	776	1883
292	779	1880
293	781	1877
294	784	1874
295	786	1871
296	789	1868
297	791	1865
298	794	1861
299	796	1858
300	798	1855
301	801	1851
302	803	1848
303	806	1845
304	808	1842
305	810	1839
306	813	1836
307	815	1833
308	818	1830
309	820	1827
310	823	1823
311	825	1821
312	828	1817
313	830	1814
314	833	1812
315	835	1808
316	838	1805
317	840	1802
318	842	1799
319	845	1796
320	847	1793
321	850	1790
322	852	1787
323	855	1784
324	857	1781
325	860	1778
326	862	1775
327	865	1772
328	867	1769
329	870	1767
330	872	1764
331	875	1761
332	877	1758
333	880	1755
334	882	1752
335	885	1749
336	887	1746
337	889	1743
338	892	1740
339	894	1736
340	897	1733
341	899	1730
342	902	1727
343	904	1725
344	907	1722
345	909	1719
346	912	1716
347	914	1713
348	917	1711
349	919	1708
350	922	1705
351	924	1702
352	927	1699
353	929	1696
354	932	1694
355	934	1691
356	937	1688
357	939	1685
358	942	1682
359	944	1679
360	947	1676
361	949	1673
362	952	1671
363	954	1668
364	957	1665
365	959	1662
366	962	1659
367	964	1657
368	967	1654
369	974	1659
370	977	1656
371	980	1654
372	982	1651
373	985	1648
374	987	1646
375	990	1643
376	995	1645
377	1001	1647
378	1006	1649
379	1010	1647
380	1012	1644
381	1014	1642
382	1018	1640
383	1020	1636
384	1022	1633
385	1025	1631
386	1027	1628
387	1030	1625
388	1032	1622
389	1035	1619
390	1037	1616
391	1040	1614
392	1043	1611
393	1045	1608
394	1048	1605
395	1050	1602
396	1053	1599
397	1055	1596
398	1058	1594
399	1060	1591
400	1063	1589
401	1066	1586
402	1068	1582
403	1070	1579
404	1073	1576
405	1075	1573
406	1078	1571
407	1080	1568
408	1083	1565
409	1085	1562
410	1087	1559
411	1090	1555
412	1092	1552
413	1094	1549
414	1097	1546
415	1099	1543
416	1102	1541
417	1104	1538
418	1107	1535
419	1109	1532
420	1112	1529
421	1114	1526
422	1116	1523
423	1119	1520
424	1121	1517
425	1124	1514
426	1126	1511
427	1129	1509
428	1131	1506
429	1133	1503
430	1136	1500
431	1138	1497
432	1141	1494
433	1143	1491
434	1146	1488
435	1148	1485
436	1150	1482
437	1153	1479
438	1155	1476
439	1158	1474
440	1161	1472
441	1163	1469
442	1166	1466
443	1168	1463
444	1171	1460
445	1173	1458
446	1176	1455
447	1178	1452
448	1181	1449
449	1183	1446
450	1186	1443
451	1188	1440
452	1190	1438
453	1193	1435
454	1195	1432
455	1199	1430
456	1203	1429
457	1209	1430
458	1211	1428
459	1214	1425
460	1216	1422
461	1219	1419
462	1221	1416
463	1226	1416
464	1229	1414
465	1231	1411
466	1234	1408
467	1236	1405
468	1238	1402
469	1241	1399
470	1244	1397
471	1246	1394
472	1248	1391
473	1251	1388
474	1253	1385
475	1256	1382
476	1258	1379
477	1260	1377
478	1263	1374
479	1265	1371
480	1268	1368
481	1270	1365
482	1273	1362
483	1275	1359
484	1277	1356
485	1280	1354
486	1282	1351
487	1285	1348
488	1287	1345
489	1290	1342
490	1293	1340
491	1295	1337
492	1297	1334
493	1300	1331
494	1302	1328
495	1305	1326
496	1307	1323
497	1310	1320
498	1312	1317
499	1314	1314
500	1317	1311
501	1319	1309
502	1321	1306
503	1324	1303
504	1326	1300
505	1328	1297
506	1331	1294
507	1333	1291
508	1336	1288
509	1338	1285
510	1340	1283
511	1343	1280
512	1345	1277
513	1347	1274
514	1350	1271
515	1352	1268
516	1355	1265
517	1357	1263
518	1359	1260
519	1362	1257
520	1364	1254
521	1367	1251
522	1369	1248
523	1371	1246
524	1374	1243
525	1376	1240
526	1378	1237
527	1381	1234
528	1383	1231
529	1385	1228
530	1388	1226
531	1390	1223
532	1394	1221
533	1396	1218
534	1398	1215
535	1401	1212
536	1403	1210
537	1405	1207
538	1408	1204
539	1410	1201
540	1413	1199
541	1415	1196
542	1418	1193
543	1420	1190
544	1422	1187
545	1425	1185
546	1427	1182
547	1430	1179
548	1432	1176
549	1435	1174
550	1437	1171
551	1439	1168
552	1442	1165
553	1444	1162
554	1446	1160
555	1449	1157
556	1451	1154
557	1454	1151
558	1456	1149
559	1458	1146
560	1461	1143
561	1463	1140
562	1466	1137
563	1468	1135
564	1470	1132
565	1473	1129
566	1475	1126
567	1477	1124
568	1480	1121
569	1482	1118
570	1484	1115
571	1487	1112
572	1489	1110
573	1491	1107
574	1494	1104
575	1496	1101
576	1499	1099
577	1502	1097
578	1506	1095
579	1511	1094
580	1515	1093
581	1520	1092
582	1525	1090
583	1529	1089
584	1534	1088
585	1538	1087
586	1543	1086
587	1548	1084
588	1553	1084
589	1558	1082
590	1562	1081
591	1567	1080
592	1572	1078
593	1576	1077
594	1578	1074
595	1580	1071
596	1583	1068
597	1585	1065
598	1587	1062
599	1590	1060
600	1592	1057
601	1594	1054
602	1597	1051
603	1599	1048
604	1602	1045
605	1604	1043
606	1606	1040
607	1609	1037
608	1611	1034
609	1614	1031
610	1616	1029
611	1618	1026
612	1621	1023
613	1623	1020
614	1625	1017
615	1628	1014
